Sum of 8.71,Column Labels,,,,,,,,,,
Row Labels,DO,EC,GRV,MapLocation,ORP,PH,Sal,TDS,Temp,(blank),Grand Total
2017-04-01T21:26:47.343087,,,,,,,1.47,,,,1.47
2017-04-01T21:26:47.343095,,,1.001,,,,,,,,1.001
2017-04-01T21:26:47.343103,,,,0,,,,,,,0
2017-04-01T21:26:59.299460,9.3,,,,,,,,,,9.3
2017-04-01T21:26:59.299491,,,,,,,,,,,
2017-04-01T21:26:59.299505,,,,,,5.921,,,,,5.921
2017-04-01T21:26:59.299515,,2854,,,,,,,,,2854
2017-04-01T21:26:59.299524,,,,,,,,,31.1,,31.1
2017-04-01T21:26:59.299532,,,,,,,,1541,,,1541
2017-04-01T21:26:59.299540,,,,,,,1.47,,,,1.47
2017-04-01T21:26:59.299658,,,1.001,,,,,,,,1.001
2017-04-01T21:26:59.299670,,,,0,,,,,,,0
2017-04-01T21:27:11.212573,9.26,,,,,,,,,,9.26
2017-04-01T21:27:11.212610,,,,,,,,,,,
2017-04-01T21:27:11.212624,,,,,,5.923,,,,,5.923
2017-04-01T21:27:11.212635,,2853,,,,,,,,,2853
2017-04-01T21:27:11.212644,,,,,,,,,30.85,,30.85
2017-04-01T21:27:11.212653,,,,,,,,1541,,,1541
2017-04-01T21:27:11.212664,,,,,,,1.47,,,,1.47
2017-04-01T21:27:11.212685,,,1.001,,,,,,,,1.001
2017-04-01T21:27:11.212696,,,,0,,,,,,,0
2017-04-01T21:27:22.711095,9.1,,,,,,,,,,9.1
2017-04-01T21:27:22.711150,,,,,,,,,,,
2017-04-01T21:27:22.711168,,,,,,5.928,,,,,5.928
2017-04-01T21:27:22.711176,,2849,,,,,,,,,2849
2017-04-01T21:27:22.711183,,,,,,,,,31.1,,31.1
2017-04-01T21:27:22.711191,,,,,,,,1538,,,1538
2017-04-01T21:27:22.711198,,,,,,,1.47,,,,1.47
2017-04-01T21:27:22.711204,,,1.001,,,,,,,,1.001
2017-04-01T21:27:22.711210,,,,0,,,,,,,0
2017-04-01T21:27:35.085001,9.09,,,,,,,,,,9.09
2017-04-01T21:27:35.085028,,,,,,,,,,,
2017-04-01T21:27:35.085040,,,,,,5.926,,,,,5.926
2017-04-01T21:27:35.085049,,2854,,,,,,,,,2854
2017-04-01T21:27:35.085057,,,,,,,,,31.59,,31.59
2017-04-01T21:27:35.085064,,,,,,,,1541,,,1541
2017-04-01T21:27:35.085072,,,,,,,1.47,,,,1.47
2017-04-01T21:27:35.085079,,,1.001,,,,,,,,1.001
2017-04-01T21:27:35.085086,,,,0,,,,,,,0
2017-04-01T21:27:47.050074,9.14,,,,,,,,,,9.14
